0 515.744873047
11.3195 516.168457031
22.639 515.728210449
33.9585 516.033813477
45.278 516.613464355
56.5974 517.686889648
67.9169 519.601928711
79.2364 521.465270996
90.5559 524.626159668
101.875 528.04699707
113.195 530.778442383
124.514 534.559143066
135.834 536.98248291
147.153 540.307067871
158.473 542.896484375
169.792 547.65020752
181.112 550.496887207
192.431 554.233154297
203.751 556.660217285
215.07 562.018310547
226.39 564.694763184
237.709 569.05279541
249.029 571.579772949
260.348 575.634643555
271.668 579.062194824
282.987 583.229187012
294.307 585.476013184
305.626 590.241577148
316.946 594.733215332
328.265 597.474609375
339.585 601.956237793
350.904 604.356872559
362.224 608.92791748
373.543 611.745239258
384.863 614.817321777
396.182 619.199890137
407.502 623.349182129
418.821 626.328552246
430.141 630.280090332
441.46 633.145141602
452.78 637.293029785
464.099 640.400390625
475.418 644.323547363
486.738 647.140625
498.057 651.305969238
509.377 655.977355957
520.696 658.820861816
532.016 662.568481445
543.335 665.176086426
554.655 667.514770508
565.974 668.753112793
577.294 669.203979492
588.613 668.994689941
599.933 667.453186035
611.252 665.946411133
622.712 663.133605957
634.171 661.271484375
645.63 658.597412109
657.09 656.783996582
668.549 654.227722168
680.008 653.328552246
691.468 652.977355957
