0 524.06652832
11.3157 524.026550293
22.6315 524.527099609
33.9472 524.960754395
45.263 526.515686035
56.5787 528.403686523
67.8944 531.845947266
79.2102 535.835449219
90.5259 537.52935791
101.842 540.811279297
113.157 543.465026855
124.473 547.027770996
135.789 548.94140625
147.105 553.158203125
158.42 554.738830566
169.736 558.496520996
181.052 560.664428711
192.368 564.363769531
203.683 566.238769531
214.999 570.153259277
226.315 571.62121582
237.631 574.314086914
248.946 577.73638916
260.262 581.727844238
271.578 583.213684082
282.893 586.414978027
294.209 589.154174805
305.525 592.67175293
316.841 594.712768555
328.156 596.705505371
339.472 600.356994629
350.788 603.975891113
362.104 606.25189209
373.419 609.841003418
384.735 612.069702148
396.051 616.165466309
407.367 617.515441895
418.682 621.051635742
429.998 622.987915039
441.314 626.542175293
452.63 628.922607422
463.945 632.384887695
475.261 636.877441406
486.577 640.356079102
497.893 642.5390625
509.208 646.598144531
520.524 648.938110352
531.84 651.308898926
543.155 653.866882324
554.471 657.897399902
565.787 660.42175293
577.103 662.781066895
588.418 664.052185059
599.734 664.985046387
611.05 665.173583984
622.492 663.804321289
633.933 661.168151855
645.375 657.823303223
656.817 654.558410645
668.258 649.934692383
679.7 646.908996582
691.142 642.836914062
702.583 640.138244629
714.025 635.562316895
725.467 633.149597168
736.909 628.427429199
748.35 625.437927246
759.792 621.901611328
771.234 617.77557373
782.675 614.201660156
794.117 610.283813477
805.559 607.325500488
817 603.04510498
828.442 600.368041992
839.884 596.894592285
851.325 595.073303223
862.767 591.056640625
874.209 589.125488281
885.651 586.612731934
897.092 584.934875488
908.534 582.440979004
919.976 580.82019043
931.417 579.402954102
942.859 577.531799316
954.301 576.637573242
965.742 575.958068848
977.184 574.860351562
988.626 573.813354492
1000.07 573.453735352
1011.51 573.182922363
1022.95 573.559204102
1034.37 573.397583008
1045.78 574.229125977
1057.2 575.01171875
1068.62 576.149353027
1080.03 579.323059082
1091.45 580.461791992
1102.87 583.460571289
1114.28 587.001831055
1125.7 589.045593262
1137.12 592.94329834
1148.53 595.869750977
1159.95 600.433410645
1171.37 601.716064453
1182.78 605.327514648
1194.2 608.120300293
1205.62 612.798950195
1217.03 614.953125
1228.45 618.32421875
1239.87 620.73248291
1251.28 624.657775879
1262.7 627.465393066
1274.12 630.899291992
1285.53 633.577453613
1296.95 637.275878906
1308.37 639.791442871
1319.78 643.588745117
1331.2 648.031494141
1342.62 650.198669434
1354.03 654.488647461
1365.45 656.111206055
1376.87 662.53918457
1388.28 665.474060059
1399.7 669.039916992
1411.12 671.621276855
1422.53 673.984375
1433.95 674.542785645
1445.37 675.772644043
1457.05 675.418212891
1468.74 675.80657959
1480.43 675.626037598
1492.11 677.233276367
1503.8 676.206176758
1515.49 676.605712891
1527.17 677.845703125
1538.86 676.592834473
1550.55 673.717773438
1562.23 672.327758789
1573.92 667.786682129
1585.61 665.371826172
1597.29 661.873352051
1608.98 658.910339355
1620.67 655.104187012
1632.35 652.556884766
1644.04 648.371643066
1655.64 645.620361328
1667.25 642.039367676
1678.85 639.412902832
1690.45 635.46661377
1702.06 631.351928711
1713.66 629.106933594
1725.26 625.374450684
1736.87 622.744140625
1748.47 615.758728027
1760.08 613.32623291
1771.68 609.287475586
1783.28 607.487976074
1794.89 606.86706543
1806.49 606.083251953
1818.08 604.640075684
1829.68 603.361572266
1841.27 601.502990723
1852.87 599.355529785
1864.46 597.458129883
1876.06 594.957885742
1887.65 593.286193848
1899.24 591.310791016
1910.84 589.156494141
1922.43 587.026367188
1934.03 585.492858887
1945.62 583.35949707
1957.26 580.990356445
1968.89 579.138122559
1980.53 577.494140625
1992.17 575.076904297
2003.8 572.418823242
2015.44 570.129882812
2027.08 567.94921875
2038.71 566.805053711
2050.35 564.585021973
2061.99 562.876525879
2073.63 562.084350586
2085.26 559.761962891
2096.53 557.714294434
2107.8 556.91986084
2119.06 555.521789551
2130.33 554.313903809
2141.6 552.505737305
2152.87 551.916809082
2164.13 550.162475586
2175.4 549.239562988
2186.67 548.044433594
2197.93 547.081970215
2209.2 545.124938965
2220.47 544.802001953
2231.74 543.270812988
2243 542.362243652
2254.27 541.454711914
2265.54 539.559143066
2276.8 538.049499512
2288.07 537.265136719
2299.34 536.380004883
2310.61 536.955993652
2321.87 536.847412109
