0 540.908081055
11.7231 540.920654297
23.4463 540.164306641
35.1694 540.260559082
46.8925 539.981567383
58.6157 540.110534668
70.3388 539.130737305
82.0619 538.022338867
93.7851 537.84588623
105.508 536.969848633
117.231 536.894104004
128.954 535.849975586
140.678 534.651794434
152.401 534.352233887
164.124 533.625427246
175.847 533.389831543
187.57 532.293395996
199.293 531.275756836
211.016 530.763061523
222.74 529.18157959
234.463 528.54486084
246.186 526.762817383
257.909 525.964538574
269.632 524.001403809
281.355 522.073608398
293.078 521.188659668
304.801 519.042236328
316.525 517.924499512
328.248 515.929138184
339.971 513.819824219
351.694 512.666381836
363.417 510.78314209
375.14 509.90335083
386.863 508.114501953
398.587 506.344573975
410.31 505.460449219
422.033 503.48135376
433.756 502.817626953
445.479 501.363189697
457.202 499.633636475
468.925 499.30770874
480.648 498.083892822
492.372 497.685821533
504.095 496.815185547
515.818 496.448730469
527.541 496.51361084
539.264 496.392425537
550.987 496.808258057
562.71 497.329437256
574.434 498.125091553
586.157 498.859039307
597.88 499.777770996
609.603 500.511444092
621.326 501.462554932
633.049 502.50994873
644.772 503.300872803
656.495 504.565155029
668.219 505.565338135
679.942 506.856262207
691.665 508.289367676
703.388 509.27911377
715.111 510.928192139
726.834 512.057067871
738.557 513.922180176
750.281 515.881530762
762.004 517.182312012
773.727 519.415588379
785.45 520.905517578
797.173 523.241455078
808.896 525.566467285
820.619 526.994689941
832.342 528.684692383
844.066 529.380310059
855.765 530.375366211
867.463 532.142883301
879.162 533.752746582
890.861 536.903076172
902.56 538.468994141
914.259 541.497131348
925.958 543.082214355
937.657 546.325439453
949.356 549.986083984
961.055 552.025146484
972.754 555.580383301
984.453 557.639404297
996.152 561.861938477
1007.85 566.581481934
1019.55 568.257080078
1031.25 572.60760498
1042.95 575.191345215
1054.65 579.180908203
1066.35 584.401000977
1078.04 585.789245605
1089.74 590.133972168
1101.44 592.720825195
1113.14 596.985595703
1124.84 601.729675293
1136.54 604.384460449
1148.56 609.003234863
1160.57 611.553405762
1172.59 616.084472656
1184.61 621.363647461
1196.62 623.463500977
1208.64 628.166259766
1220.66 632.389526367
1232.68 635.284606934
1244.69 640.067626953
