2.56 0.01
2.60 0.02
2.65 0.03
2.71 0.05
2.82 0.09
2.90 0.12
2.94 0.14
3.04 0.18
3.14 0.22
3.26 0.28
3.37 0.33
3.42 0.35
3.51 0.39
3.59 0.43
3.61 0.44
3.73 0.48
3.88 0.54
3.93 0.55
4.02 0.59
4.15 0.65
4.24 0.68
4.31 0.71
4.40 0.76
4.50 0.83
4.57 0.86
4.66 0.93
