# lat lon Nways
25.2 -95.8 0
25.2 -95.6 0
25.2 -95.4 0
25.2 -95.2 0
25.2 -95 0
25.2 -94.8 0
25.2 -94.6 0
25.2 -94.4 0
25.2 -94.2 0
25.2 -94 0
25.2 -93.8 0
25.2 -93.6 0
25.2 -93.4 0
25.2 -93.2 0
25.2 -93 0
25.2 -92.8 0
25.2 -92.6 0
25.2 -92.4 0
25.2 -92.2 0
25.2 -92 0
25.2 -91.8 0
25.2 -91.6 0
25.2 -91.4 0
25.2 -91.2 0
25.2 -91 0
25.2 -90.8 0
25.2 -90.6 0
25.2 -90.4 0
25.2 -90.2 0
25.2 -90 0
25.2 -89.8 0
25.2 -89.6 0
25.2 -89.4 0
25.2 -89.2 0
25.2 -89 0
25.2 -88.8 0
25.2 -88.6 0
25.2 -88.4 0
25.2 -88.2 0
25.2 -88 0
25.2 -87.8 0
25.2 -87.6 0
25.2 -87.4 0
25.2 -87.2 0
25.2 -87 0
25.2 -86.8 0
25.2 -86.6 0
25.2 -86.4 0
25.2 -86.2 0
25.2 -86 0
25.2 -85.8 0
25.2 -85.6 0
25.2 -85.4 0
25.2 -85.2 0
25.2 -85 0
25.2 -84.8 0
25.2 -84.6 0
25.2 -84.4 0
25.2 -84.2 0
25.2 -84 0
25.2 -83.8 0
25.2 -83.6 0
25.2 -83.4 0
25.2 -83.2 0
25.2 -83 0
25.2 -82.8 0
25.2 -82.6 0
25.2 -82.4 0
25.2 -82.2 0
25.2 -82 0
25.2 -81.8 0
25.2 -81.6 0
25.2 -81.4 0
25.2 -81.2 0
25.2 -81 143
25.2 -80.8 7
25.2 -80.6 0
25.2 -80.4 527
25.2 -80.2 18
25.2 -80 0
25.2 -79.8 0
25.2 -79.6 0
25.2 -79.4 0
25.2 -79.2 0
25.2 -79 0
25.2 -78.8 0
25.2 -78.6 0
25.2 -78.4 0
25.2 -78.2 0
25.2 -78 0
25.2 -77.8 0
25.2 -77.6 0
25.2 -77.4 0
25.2 -77.2 0
25.2 -77 0
25.2 -76.8 0
25.2 -76.6 0
25.2 -76.4 0
25.2 -76.2 0
25.2 -76 0
25.2 -75.8 0
25.2 -75.6 0
25.2 -75.4 0
25.2 -75.2 0
25.2 -75 0
25.2 -74.8 0
25.2 -74.6 0
25.2 -74.4 0
25.2 -74.2 0
25.2 -74 0
25.2 -73.8 0
25.2 -73.6 0
25.2 -73.4 0
25.2 -73.2 0
25.2 -73 0
